Provincia,Viviendas Particulares Habitadas,Viviendas Particulares Deshabitadas,Viviendas colectivas
Ciudad Autonoma de Buenos Aires,1082998,340975,1867
Buenos Aires,4425193,952593,5750
Catamarca,89376,24258,385
Chaco,270133,42469,370
Chubut,147176,30809,860
Cordoba,978553,253658,3745
Corrientes,248844,43800,593
Entre Rios,357250,68341,775
Formosa,130134,24324,236
Jujuy,154911,40874,501
La Pampa,104797,28389,343
La Rioja,86367,22600,215
Mendoza,459550,78506,1215
Misiones,290263,39786,582
Neuquen,159302,34431,880
Rio Negro,190597,46012,778
Salta,267075,48111,755
San Juan,162204,26451,291
San Luis,117766,24283,312
Santa Cruz,76233,17648,553
Santa Fe,948369,195282,1619
Santiago del Estero,197906,44128,393
Tierra del Fuego Antartida e Islas del Atlantico Sur,36689,6671,219
Tucuman,335821,60219,389
